year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1901;null;null;null;null;null
1902;null;null;null;null;null
1903;null;null;null;null;null
1904;null;null;null;null;null
1905;null;null;null;null;null
1906;null;null;null;null;null
1907;null;null;null;null;null
1908;null;null;null;null;null
1909;null;null;null;null;null
1910;null;null;null;null;null
1911;null;null;null;null;null
1912;null;null;null;null;null
1913;null;null;null;null;null
1914;null;null;null;null;null
1915;null;null;null;null;null
1916;null;null;null;null;null
1917;null;null;null;null;null
1918;null;null;null;null;null
1919;null;null;null;null;null
1920;null;null;null;null;null
1921;null;null;null;null;null
1922;null;null;null;null;null
1923;null;null;null;null;null
1924;null;null;null;null;null
1925;null;null;null;null;null
1926;null;null;null;null;null
1927;null;null;null;null;null
1928;null;null;null;null;null
1929;null;null;null;null;null
1930;null;null;null;null;null
1931;null;null;null;null;null
1932;null;null;null;null;null
1933;null;null;null;null;null
1934;null;null;null;null;null
1935;null;null;null;null;null
1936;null;null;null;null;null
1937;null;null;null;null;null
1938;null;null;null;null;null
1939;null;null;null;null;null
1940;null;null;null;null;null
1941;null;null;null;null;null
1942;null;null;null;null;null
1943;null;null;null;null;null
1944;null;null;null;null;null
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;null;null;null;null;null
1948;null;null;null;null;null
1949;null;null;null;null;null
1950;null;null;null;null;null
1951;null;null;null;null;null
1952;null;null;null;null;null
1953;null;null;null;null;null
1954;null;null;null;null;null
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;null;null;null;null;null
1958;null;null;null;null;null
1959;null;null;null;null;null
1960;null;null;null;null;null
1961;null;null;null;null;null
1962;null;null;null;null;null
1963;null;null;null;null;null
1964;null;null;null;null;null
1965;null;null;null;null;null
1966;null;null;null;null;null
1967;null;null;null;null;null
1968;null;null;null;null;null
1969;null;null;null;null;null
1970;null;null;null;null;null
1971;null;null;null;null;null
1972;null;null;null;null;null
1973;6.1;0;21;0;44
1974;7.43;5;25;0;13
1975;6.68;2;23;0;28
1976;6.87;1;28;0;38
1977;7.08;1;17;0;30
1978;5.37;0;10;0;46
1979;6.18;0;14;0;41
1980;5.9;3;23;0;41
1981;6.21;0;22;0;52
1982;7.41;0;26;0;22
1983;7.08;6;34;0;30
1984;6.18;4;16;0;32
1985;6.2;2;28;0;47
1986;6.76;1;38;0;33
1987;6.3;0;30;0;46
1988;7.47;0;21;0;26
1989;7.85;0;14;0;6
1990;7.3;0;22;0;29
1991;6.86;1;27;0;32
1992;7.77;4;34;0;23
1993;7.33;2;26;0;42
1994;8.57;4;42;0;22
1995;7.01;3;22;0;33
1996;6.53;1;16;0;37
1997;7.66;0;17;0;16
1998;7.21;6;23;0;36
1999;7.25;1;22;0;44
2000;8.12;1;30;0;19
2001;7.24;3;33;0;34
2002;7.9;5;32;0;17
2003;7.63;16;65;0;35
2004;6.78;1;34;0;42
2005;6.13;4;38;0;57
2006;7.34;6;49;0;38
2007;7.88;5;32;0;18
2008;7.84;2;38;0;18
2009;7.55;3;35;0;31
2010;6.63;9;36;0;50
2011;8.32;8;37;0;18
2012;7.66;9;43;0;36
2013;7.14;12;37;0;32
2014;8.89;4;22;0;8
2015;8.53;19;56;0;19
2016;8.49;7;43;0;9
2017;8.05;7;52;0;26
2018;9.11;7;60;0;23
2019;8.64;13;51;0;14
2020;8.6;6;41;0;7
2021;7.53;6;34;0;35
2022;9.11;11;55;0;12
2023;9.07;13;59;0;14
2024;null;2;17;0;9
