year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1901;null;null;null;null;null
1902;null;null;null;null;null
1903;null;null;null;null;null
1904;null;null;null;null;null
1905;null;null;null;null;null
1906;null;null;null;null;null
1907;null;null;null;null;null
1908;null;null;null;null;null
1909;null;null;null;null;null
1910;null;null;null;null;null
1911;null;null;null;null;null
1912;null;null;null;null;null
1913;null;null;null;null;null
1914;null;null;null;null;null
1915;null;null;null;null;null
1916;null;null;null;null;null
1917;null;null;null;null;null
1918;null;null;null;null;null
1919;null;null;null;null;null
1920;null;null;null;null;null
1921;null;null;null;null;null
1922;null;null;null;null;null
1923;null;null;null;null;null
1924;null;null;null;null;null
1925;null;null;null;null;null
1926;null;null;null;null;null
1927;null;null;null;null;null
1928;null;null;null;null;null
1929;null;null;null;null;null
1930;null;null;null;null;null
1931;null;null;null;null;null
1932;null;null;null;null;null
1933;1.2;0;0;0;116
1934;null;null;null;null;null
1935;null;null;null;null;null
1936;null;null;null;null;null
1937;null;null;null;null;null
1938;1.89;0;0;0;94
1939;null;null;null;null;null
1940;null;null;null;null;null
1941;1.28;0;0;0;107
1942;2.21;0;0;0;92
1943;3.2;0;0;0;82
1944;1.13;0;0;0;120
1945;null;null;null;null;null
1946;2.98;0;0;0;92
1947;3.27;0;0;0;90
1948;3.03;0;0;0;68
1949;2.56;0;0;0;84
1950;2.41;0;0;0;112
1951;2.52;0;0;0;99
1952;1.26;0;0;0;127
1953;2.79;0;0;0;88
1954;1.02;0;0;0;123
1955;1.36;0;0;0;107
1956;0.55;0;0;0;131
1957;2.44;0;0;0;89
1958;2.15;0;0;0;101
1959;2.75;0;0;0;84
1960;1.75;0;0;0;104
1961;null;null;null;null;null
1962;0.74;0;0;0;123
1963;1.31;0;0;0;103
1964;2.13;0;0;0;109
1965;0.7;0;0;0;128
1966;1.45;0;0;0;117
1967;1.87;0;0;0;109
1968;null;null;null;null;null
1969;1.86;0;0;0;109
1970;1.55;0;0;0;121
1971;2.28;0;0;0;83
1972;2.12;0;0;0;75
1973;1.59;0;0;0;123
1974;1.65;0;0;0;109
1975;2.23;0;0;0;108
1976;1.79;0;0;0;107
1977;2.47;0;0;0;95
1978;1.56;0;0;0;106
1979;1.65;0;0;0;112
1980;0.87;0;0;0;129
1981;1.45;0;0;0;117
1982;null;null;null;null;null
1983;null;null;null;null;null
1984;1.58;0;0;0;102
1985;1.82;0;0;0;102
1986;2.29;0;0;0;93
1987;null;null;null;null;null
1988;2.43;0;0;0;89
1989;3.51;0;0;0;53
1990;3.05;0;0;0;75
1991;2.32;0;0;0;101
1992;3.32;0;0;0;77
1993;2.77;0;0;0;81
1994;3.72;0;0;0;72
1995;2.32;0;0;0;98
1996;2;0;0;0;92
1997;3.23;0;0;0;85
1998;2.62;0;0;0;95
1999;2.72;0;0;0;84
2000;4.35;0;0;0;74
2001;2.84;0;0;0;91
2002;3.59;0;0;0;73
2003;3.6;0;0;0;86
2004;2.5;0;0;0;94
2005;1.98;0;0;0;112
2006;3.44;0;0;0;90
2007;3.44;0;0;0;71
2008;null;null;null;null;null
2009;2.91;0;0;0;92
2010;1.97;0;0;0;113
2011;null;null;null;null;null
2012;null;null;null;null;null
2013;3.22;0;0;0;84
2014;4.41;0;0;0;49
2015;4.45;0;0;0;63
2016;3.59;0;0;0;82
2017;3.51;0;0;0;83
2018;4.65;0;0;0;67
2019;4.11;0;1;0;71
2020;4.44;0;0;0;56
2021;3.25;0;0;0;81
2022;4.58;0;0;0;60
2023;null;0;0;0;10
