year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951;null;null;null;null;null
1952;null;null;null;null;null
1953;null;null;null;null;null
1954;null;null;null;null;null
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;3.21;2;7;0;53
1958;2.79;0;5;0;74
1959;3.3;0;1;0;58
1960;2.8;0;3;0;64
1961;3.81;0;3;0;57
1962;1.72;0;3;0;97
1963;2.09;0;3;0;86
1964;3.41;0;9;0;70
1965;2.13;0;2;0;88
1966;3.04;0;3;0;67
1967;3.47;0;9;0;60
1968;3.08;0;6;0;66
1969;2.74;0;2;0;80
1970;2.93;0;7;0;90
1971;3.8;0;10;0;61
1972;3.31;0;3;0;49
1973;2.91;0;3;0;84
1974;3.08;0;5;0;50
1975;3.16;0;2;0;60
1976;2.62;0;0;0;74
1977;3.4;0;1;0;68
1978;2.8;0;0;0;62
1979;2.74;0;0;0;75
1980;2.22;0;4;0;78
1981;2.76;0;2;0;86
1982;3.45;0;0;0;65
1983;3.78;0;12;0;63
1984;2.43;0;6;0;73
1985;2.88;0;6;0;71
1986;3.2;0;2;0;72
1987;3.02;0;1;0;73
1988;3.24;0;2;0;71
1989;null;null;null;null;null
1990;4.02;0;1;0;53
1991;3.48;0;1;0;65
1992;4.16;0;5;0;45
1993;3.86;0;2;0;52
1994;5.11;0;3;0;37
1995;3.44;0;4;0;56
1996;3.11;0;0;0;61
1997;4.31;0;0;0;47
1998;3.92;0;8;0;67
1999;3.93;0;0;0;64
2000;4.41;0;4;0;56
2001;3.97;0;3;0;65
2002;4.69;0;5;0;43
2003;4.53;0;15;0;54
2004;3.8;0;0;0;67
2005;3.21;0;3;0;91
2006;4.15;0;9;0;70
2007;4.61;0;6;0;51
2008;4.09;0;2;0;62
2009;4.13;0;3;0;81
2010;3.11;0;7;0;88
2011;5.13;0;8;0;36
2012;4.21;0;8;0;60
2013;3.98;0;12;0;63
2014;5.36;0;4;0;29
2015;5.31;0;17;0;42
2016;4.96;0;6;0;44
2017;4.71;0;6;0;58
2018;5.42;0;5;0;53
2019;4.89;1;16;0;48
2020;5.07;0;5;0;37
2021;3.92;0;7;0;61
2022;5.7;0;11;0;44
2023;5.71;0;18;0;42
2024;null;0;7;0;20
