month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1993-12;-2.43;0;0;0;9
1994-1;-2.65;0;0;0;8
1994-2;-4.05;0;0;0;12
1994-3;2.57;0;0;0;0
1994-4;1.22;0;0;0;7
1994-5;7.76;0;0;0;0
1994-6;10.59;0;0;0;0
1994-7;14.6;0;2;0;0
1994-8;13.52;0;1;0;0
1994-9;9.34;0;0;0;0
1994-10;4.95;0;0;0;1
1994-11;4.02;0;0;0;0
1994-12;-1.5;0;0;0;9
1995-1;-6.23;0;0;0;18
1995-2;-1.1;0;0;0;3
1995-3;-3.59;0;0;0;12
1995-4;2.44;0;0;0;3
1995-5;6.74;0;0;0;0
1995-6;7.85;0;0;0;0
1995-7;14.39;0;4;0;0
1995-8;10.95;0;0;0;0
1995-9;6.5;0;0;0;0
1995-10;8.22;0;0;0;0
1995-11;-1.25;0;0;0;8
1995-12;-4.21;0;0;0;13
1996-1;-2.38;0;0;0;6
1996-2;-6.28;0;0;0;16
1996-3;-3.11;0;0;0;11
1996-4;2.59;0;0;0;3
1996-5;7.33;0;0;0;0
1996-6;11.09;0;0;0;0
1996-7;11.14;0;0;0;0
1996-8;10.72;0;0;0;0
1996-9;5.74;0;0;0;0
1996-10;5.11;0;0;0;0
1996-11;-0.3;0;0;0;10
1996-12;-5.22;0;0;0;16
1997-1;-4.63;0;0;0;16
1997-2;-2.04;0;0;0;5
1997-3;1.1;0;0;0;3
1997-4;0.38;0;0;0;2
1997-5;7.6;0;0;0;0
1997-6;10.76;0;0;0;0
1997-7;11.2;0;0;0;0
1997-8;13.41;0;0;0;0
1997-9;10.99;0;0;0;0
1997-10;5.53;0;0;0;2
1997-11;-0.24;0;0;0;5
1997-12;-3.07;0;0;0;14
1998-1;-4.3;0;0;0;13
1998-2;-0.96;0;0;0;6
1998-3;-1.51;0;0;0;12
1998-4;3.04;0;0;0;1
1998-5;8.03;0;0;0;0
1998-6;11.43;0;1;0;0
1998-7;13.26;0;2;0;0
1998-8;13.46;0;5;0;0
1998-9;8.63;0;0;0;0
1998-10;4.8;0;0;0;0
1998-11;-4.38;0;0;0;18
1998-12;-5.16;0;0;0;18
1999-1;-3.86;0;0;0;11
1999-2;-6.55;0;0;0;16
1999-3;-0.36;0;0;0;7
1999-4;2.25;0;0;0;2
1999-5;8.77;0;0;0;0
1999-6;9.63;0;0;0;0
1999-7;13;0;0;0;0
1999-8;12.75;0;0;0;0
1999-9;11.11;0;0;0;0
1999-10;6.37;0;0;0;0
1999-11;-3.59;0;0;0;17
1999-12;-3.81;0;0;0;12
2000-1;-6.42;0;0;0;23
2000-2;-2.61;0;0;0;7
2000-3;-0.49;0;0;0;6
2000-4;3.6;0;0;0;0
2000-5;8.97;0;0;0;0
2000-6;12.06;0;0;0;0
2000-7;10.73;0;0;0;0
2000-8;13.36;0;4;0;0
2000-9;9.9;0;0;0;0
2000-10;6.39;0;0;0;0
2000-11;-1.22;0;0;0;8
2000-12;-2.15;0;0;0;13
2001-1;-5.31;0;0;0;19
2001-2;-3.29;0;0;0;11
2001-3;2.05;0;0;0;2
2001-4;0.66;0;0;0;6
2001-5;10.1;0;0;0;0
2001-6;9.32;0;0;0;0
2001-7;12.76;0;1;0;0
2001-8;13.73;0;2;0;0
2001-9;6.05;0;0;0;0
2001-10;8.5;0;0;0;0
2001-11;-1.4;0;0;0;7
2001-12;-6.75;0;0;0;21
2002-1;-4.52;0;0;0;15
2002-2;-0.19;0;0;0;3
2002-3;0.44;0;0;0;4
2002-4;2.99;0;0;0;1
2002-5;8.32;0;0;0;0
2002-6;12.99;0;5;0;0
2002-7;12.78;0;0;0;0
2002-8;12.08;0;0;0;0
2002-9;7.7;0;0;0;1
2002-10;5.5;0;0;0;0
2002-11;0.93;0;0;0;4
2002-12;-3.11;0;0;0;15
2003-1;-6.24;0;0;0;19
2003-2;-7.96;0;0;0;18
2003-3;0.69;0;0;0;1
2003-4;2.62;0;0;0;3
2003-5;9.62;0;0;0;0
2003-6;15.38;0;3;0;0
2003-7;13.65;0;2;0;0
2003-8;15.85;0;10;0;0
2003-9;9.17;0;0;0;0
2003-10;1.69;0;0;0;2
2003-11;2.18;0;0;0;0
2003-12;-3.47;0;0;0;12
2004-1;-5.59;0;0;0;20
2004-2;-3.8;0;0;0;15
2004-3;-1.9;0;0;0;12
2004-4;2.86;0;0;0;1
2004-5;5.81;0;0;0;0
2004-6;10.29;0;0;0;0
2004-7;12.2;0;0;0;0
2004-8;13.19;0;0;0;0
2004-9;9.59;0;0;0;0
2004-10;7.25;0;0;0;0
2004-11;-0.75;0;0;0;8
2004-12;-4.16;0;0;0;11
2005-1;-5.67;0;0;0;14
2005-2;-8.84;0;0;0;24
2005-3;-1.64;0;0;0;12
2005-4;3.57;0;0;0;2
2005-5;8.05;0;0;0;0
2005-6;11.85;0;1;0;0
2005-7;12.75;0;2;0;0
2005-8;10.44;0;0;0;0
2005-9;10.16;0;0;0;0
2005-10;6.32;0;0;0;0
2005-11;-2.19;0;0;0;14
2005-12;-7.43;0;0;0;25
2006-1;-8.38;0;0;0;24
2006-2;-5.73;0;0;0;17
2006-3;-3.34;0;0;0;10
2006-4;2.8;0;0;0;3
2006-5;7.92;0;0;0;0
2006-6;11.45;0;1;0;0
2006-7;15.77;0;8;0;0
2006-8;9.68;0;0;0;0
2006-9;12.2;0;0;0;0
2006-10;8.16;0;0;0;0
2006-11;1.22;0;0;0;4
2006-12;-2.64;0;0;0;12
2007-1;-1.09;0;0;0;8
2007-2;-1.15;0;0;0;2
2007-3;0.23;0;0;0;5
2007-4;7.34;0;0;0;0
2007-5;8.79;0;0;0;0
2007-6;12;0;0;0;0
2007-7;12.81;0;6;0;0
2007-8;11.97;0;0;0;0
2007-9;7.36;0;0;0;0
2007-10;4.35;0;0;0;4
2007-11;-2.47;0;0;0;12
2007-12;-5.52;0;0;0;21
2008-1;-2.68;0;0;0;11
2008-2;-2.72;0;0;0;8
2008-3;-2.05;0;0;0;10
2008-4;1.82;0;0;0;4
2008-5;8.98;0;0;0;0
2008-6;11.87;0;1;0;0
2008-7;12.2;0;0;0;0
2008-8;12.88;0;1;0;0
2008-9;8.21;0;0;0;0
2008-10;5.85;0;0;0;0
2008-11;-0.92;0;0;0;9
2008-12;-4.98;0;0;0;20
2009-1;-8.07;0;0;0;26
2009-2;-5.46;0;0;0;19
2009-3;-1.92;0;0;0;8
2009-4;4.88;0;0;0;0
2009-5;9.64;0;0;0;0
2009-6;10.49;0;0;0;0
2009-7;13.24;0;2;0;0
2009-8;14.51;0;1;0;0
2009-9;10.71;0;0;0;0
2009-10;4.54;0;0;0;4
2009-11;2.08;0;0;0;5
2009-12;-5.79;0;0;0;19
2010-1;-8.06;0;0;0;29
2010-2;-5.59;0;0;0;15
2010-3;-1.85;0;0;0;12
2010-4;3.42;0;0;0;2
2010-5;6.34;0;0;0;0
2010-6;10.99;0;0;0;0
2010-7;14.22;0;6;0;0
2010-8;11.79;0;1;0;0
2010-9;8.2;0;0;0;0
2010-10;3.79;0;0;0;2
2010-11;-0.81;0;0;0;11
2010-12;-5.91;0;0;0;17
2011-1;-4.91;0;0;0;18
2011-2;-1.84;0;0;0;6
2011-3;0.8;0;0;0;0
2011-4;6.04;0;0;0;1
2011-5;8.92;0;0;0;0
2011-6;11.45;0;1;0;0
2011-7;10.86;0;1;0;0
2011-8;13.98;0;6;0;0
2011-9;11.06;0;0;0;0
2011-10;4.97;0;0;0;0
2011-11;2.19;0;0;0;0
2011-12;-2.59;0;0;0;11
2012-1;-4.15;0;0;0;17
2012-2;-9.31;0;0;0;19
2012-3;1;0;0;0;2
2012-4;2.92;0;0;0;1
2012-5;8.04;0;0;0;0
2012-6;12.34;0;2;0;0
2012-7;13.3;0;2;0;0
2012-8;14.18;0;4;0;0
2012-9;9.47;0;0;0;0
2012-10;5.63;0;0;0;2
2012-11;1.12;0;0;0;2
2012-12;-4.92;0;0;0;18
2013-1;-4.43;0;0;0;16
2013-2;-7.83;0;0;0;21
2013-3;-1.69;0;0;0;5
2013-4;3.95;0;0;0;1
2013-5;6.14;0;0;0;0
2013-6;10.11;0;4;0;0
2013-7;14.31;0;3;0;0
2013-8;13.15;0;5;0;0
2013-9;9.81;0;0;0;0
2013-10;7.03;0;0;0;0
2013-11;-1.55;0;0;0;11
2013-12;-2.63;0;0;0;10
2014-1;-3.27;0;0;0;12
2014-2;-1.47;0;0;0;2
2014-3;1.14;0;0;0;5
2014-4;5.25;0;0;0;0
2014-5;7.03;0;0;0;0
2014-6;11.58;0;3;0;0
2014-7;12.63;0;1;0;0
2014-8;11.21;0;0;0;0
2014-9;9.8;0;0;0;0
2014-10;7.3;0;0;0;1
2014-11;3.62;0;0;0;0
2014-12;-1.28;0;0;0;10
2015-1;-3.17;0;0;0;15
2015-2;-5.7;0;0;0;14
2015-3;0.2;0;0;0;3
2015-4;3.5;0;0;0;2
2015-5;8.1;0;0;0;0
2015-6;12.35;0;0;0;0
2015-7;16.33;0;12;0;0
2015-8;14.4;0;5;0;0
2015-9;8.36;0;0;0;0
2015-10;4.94;0;0;0;0
2015-11;3.05;0;0;0;7
2015-12;0.27;0;0;0;1
2016-1;-3.57;0;0;0;13
2016-2;-0.9;0;0;0;7
2016-3;-1.15;0;0;0;6
2016-4;4.61;0;0;0;1
2016-5;7.31;0;0;0;0
2016-6;11.46;0;2;0;0
2016-7;13.62;0;1;0;0
2016-8;13.46;0;3;0;0
2016-9;11.09;0;0;0;0
2016-10;4.55;0;0;0;0
2016-11;0.54;0;0;0;7
2016-12;-1.77;0;0;0;10
2017-1;-8.13;0;0;0;24
2017-2;-1.11;0;0;0;4
2017-3;2.72;0;0;0;1
2017-4;3.06;0;0;0;3
2017-5;8.99;0;0;0;0
2017-6;14.2;0;2;0;0
2017-7;13.47;0;0;0;0
2017-8;14.71;0;4;0;0
2017-9;7.55;0;0;0;0
2017-10;6.71;0;0;0;0
2017-11;-1.29;0;0;0;10
2017-12;-4.88;0;0;0;16
2018-1;-1.7;0;0;0;9
2018-2;-7.64;0;0;0;21
2018-3;-1.44;0;0;0;7
2018-4;6.39;0;0;0;0
2018-5;10.14;0;0;0;0
2018-6;12.06;0;0;0;0
2018-7;14.46;0;2;0;0
2018-8;14.61;0;3;0;0
